root@Week1:~# tcpdump -r 0001.pcap
reading from file 0001.pcap, link-type EN10MB (Ethernet)
17:57:24.166283 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:24.584443 IP 194.147.140.109.56272 > 167.99.185.101.40831: Flags [S], seq 2217663651, win 1024, length 0
17:57:24.664491 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:25.163057 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:25.163124 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:25.667207 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:26.177114 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:26.177168 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:26.581135 IP 194.147.140.65.48395 > 167.99.185.101.33994: Flags [S], seq 2894267635, win 1024, length 0
17:57:26.683416 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:27.188899 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:27.188953 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:27.693909 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:28.199102 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:28.199156 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:28.704013 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:29.216082 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:29.216152 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:29.723998 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:30.229923 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:30.229987 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:30.539762 IP ec2-18-163-6-2.ap-east-1.compute.amazonaws.com > 167.99.185.101: ICMP echo request, id 27, seq 7607, length 64
17:57:30.539817 IP 167.99.185.101 > ec2-18-163-6-2.ap-east-1.compute.amazonaws.com: ICMP echo reply, id 27, seq 7607, length 64
17:57:30.785197 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:30.785257 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:31.290777 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:31.792647 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:31.792714 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:31.834219 IP ec2-18-163-6-2.ap-east-1.compute.amazonaws.com > 167.99.185.101: ICMP echo request, id 27, seq 13964, length 64
17:57:31.834271 IP 167.99.185.101 > ec2-18-163-6-2.ap-east-1.compute.amazonaws.com: ICMP echo reply, id 27, seq 13964, length 64
17:57:32.307158 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:32.808206 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:32.808260 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:33.138587 IP 170.130.187.42.51792 > 167.99.185.101.ftp: Flags [S], seq 1152928023, win 1024, options [mss 1460], length 0
17:57:33.314871 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:33.817045 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:33.817101 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:34.324722 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:34.834215 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:34.834270 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:35.326149 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:35.835699 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:35.835753 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:36.340381 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:36.844585 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:36.844665 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:37.346468 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:37.853069 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:37.853120 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:38.364561 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:38.868110 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:38.868162 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
17:57:39.369434 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:39.865334 IP cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com.62252 > 167.99.185.101.5551: UDP, length 0
17:57:39.865390 IP 167.99.185.101 > cpe9050cad40913-cm9050cad40910.cpe.net.cable.rogers.com: ICMP 167.99.185.101 udp port 5551 unreachable, length 36
